"FIPS","Year","Group","Value","MOE"
"0901377830","2007-2011","Total Living with Two Parents",192,71.505244562899
"0901377830","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901378250","2007-2011","Total Children",5152,318
"0901378250","2007-2011","Total Living with One Parent",1840,322.967490624056
"0901378250","2007-2011","Total Living with One Parent, Not in Work Force",256,155.672733643371
"0901378250","2007-2011","Total Living with Two Parents",3312,378.803379076798
"0901378250","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901385950","2007-2011","Total Children",971,103
"0901385950","2007-2011","Total Living with One Parent",281,144.013888219158
"0901385950","2007-2011","Total Living with One Parent, Not in Work Force",19,132.170344631464
"0901385950","2007-2011","Total Living with Two Parents",690,183.098334236006
"0901385950","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901501430","2007-2011","Total Children",908,136
"0901501430","2007-2011","Total Living with One Parent",181,77.8331548891602
"0901501430","2007-2011","Total Living with One Parent, Not in Work Force",46,138.737161568197
"0901501430","2007-2011","Total Living with Two Parents",727,184.878338374186
"0901501430","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901509190","2007-2011","Total Children",1693,201
"0901509190","2007-2011","Total Living with One Parent",528,226.52372944131
"0901509190","2007-2011","Total Living with One Parent, Not in Work Force",154,183.904866711025
"0901509190","2007-2011","Total Living with Two Parents",1165,238.533016582611
"0901509190","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901512130","2007-2011","Total Children",1002,139
"0901512130","2007-2011","Total Living with One Parent",199,111.018016555873
"0901512130","2007-2011","Total Living with One Parent, Not in Work Force",0,184
"0901512130","2007-2011","Total Living with Two Parents",803,218.961183774659
"0901512130","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901513810","2007-2011","Total Children",514,79
"0901513810","2007-2011","Total Living with One Parent",173,74.706090782479
"0901513810","2007-2011","Total Living with One Parent, Not in Work Force",8,159.727893619117
"0901513810","2007-2011","Total Living with Two Parents",341,81.0246875958186
"0901513810","2007-2011","Total Living with Two Parents, Neither in Work Force",27,95.8801335001156
"0901521860","2007-2011","Total Children",353,57
"0901521860","2007-2011","Total Living with One Parent",48,28.4604989415154
"0901521860","2007-2011","Total Living with One Parent, Not in Work Force",12,92.7092228421747
"0901521860","2007-2011","Total Living with Two Parents",305,52.4309069156733
"0901521860","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901536000","2007-2011","Total Children",356,65
"0901536000","2007-2011","Total Living with One Parent",59,41.7851648315524
"0901536000","2007-2011","Total Living with One Parent, Not in Work Force",4,159.461594122221
"0901536000","2007-2011","Total Living with Two Parents",297,49.5782210249622
"0901536000","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901540500","2007-2011","Total Children",3789,290
"0901540500","2007-2011","Total Living with One Parent",1130,241.834654257821
"0901540500","2007-2011","Total Living with One Parent, Not in Work Force",166,164.754362612952
"0901540500","2007-2011","Total Living with Two Parents",2659,348.852404320223
"0901540500","2007-2011","Total Living with Two Parents, Neither in Work Force",45,115.602768132947
"0901559980","2007-2011","Total Children",3642,276
"0901559980","2007-2011","Total Living with One Parent",1230,315.006349142363
"0901559980","2007-2011","Total Living with One Parent, Not in Work Force",306,222.324087763787
"0901559980","2007-2011","Total Living with Two Parents",2412,309.535135323924
"0901559980","2007-2011","Total Living with Two Parents, Neither in Work Force",14,16.2788205960997
"0901561030","2007-2011","Total Children",1045,152
"0901561030","2007-2011","Total Living with One Parent",162,99.6443676280802
"0901561030","2007-2011","Total Living with One Parent, Not in Work Force",11,160.362090283209
"0901561030","2007-2011","Total Living with Two Parents",883,219.200821166345
"0901561030","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901562710","2007-2011","Total Children",2070,269
"0901562710","2007-2011","Total Living with One Parent",712,239.610099954071
"0901562710","2007-2011","Total Living with One Parent, Not in Work Force",77,118.840228878945
"0901562710","2007-2011","Total Living with Two Parents",1358,267.71066471099
"0901562710","2007-2011","Total Living with Two Parents, Neither in Work Force",146,128.062484748657
"0901567400","2007-2011","Total Children",403,68
"0901567400","2007-2011","Total Living with One Parent",31,24.5153013442625
"0901567400","2007-2011","Total Living with One Parent, Not in Work Force",6,159.549365401433
"0901567400","2007-2011","Total Living with Two Parents",372,73.4982993000518
"0901567400","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901573420","2007-2011","Total Children",1039,154
"0901573420","2007-2011","Total Living with One Parent",245,131.605471010897
"0901573420","2007-2011","Total Living with One Parent, Not in Work Force",33,138.032604843928
"0901573420","2007-2011","Total Living with Two Parents",794,169.752761391384
"0901573420","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901575870","2007-2011","Total Children",2050,190
"0901575870","2007-2011","Total Living with One Parent",556,181.738823590338
"0901575870","2007-2011","Total Living with One Parent, Not in Work Force",85,159.480406320024
"0901575870","2007-2011","Total Living with Two Parents",1494,214.245186643714
"0901575870","2007-2011","Total Living with Two Parents, Neither in Work Force",12,93.7443331620637
"0901586790","2007-2011","Total Children",4804,387
"0901586790","2007-2011","Total Living with One Parent",2640,366.994550368258
"0901586790","2007-2011","Total Living with One Parent, Not in Work Force",465,235.0680752463
"0901586790","2007-2011","Total Living with Two Parents",2164,391.618436746791
"0901586790","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"0901588190","2007-2011","Total Children",1832,187
"0901588190","2007-2011","Total Living with One Parent",457,244.008196583639
"0901588190","2007-2011","Total Living with One Parent, Not in Work Force",9,159.962495604438
"0901588190","2007-2011","Total Living with Two Parents",1375,249.815932238118
"0901588190","2007-2011","Total Living with Two Parents, Neither in Work Force",0,130.107647738325
"09","2008-2012","Total Children",783752,1492
"09","2008-2012","Total Living with One Parent",242404,3963.69650704995
"09","2008-2012","Total Living with One Parent, Not in Work Force",36824,1860.31637094339
"09","2008-2012","Total Living with Two Parents",541348,4023.54719122319
"09","2008-2012","Total Living with Two Parents, Neither in Work Force",4993,675.903099563835
"0900104720","2008-2012","Total Children",4357,272
"0900104720","2008-2012","Total Living with One Parent",840,252.388589282479
"0900104720","2008-2012","Total Living with One Parent, Not in Work Force",95,98.9090491310072
"0900104720","2008-2012","Total Living with Two Parents",3517,343.803723074664
"0900104720","2008-2012","Total Living with Two Parents, Neither in Work Force",8,22.4722050542442
"0900108070","2008-2012","Total Children",35036,1161
"0900108070","2008-2012","Total Living with One Parent",19674,1136.21300819873
"0900108070","2008-2012","Total Living with One Parent, Not in Work Force",3440,635.98191798195
"0900108070","2008-2012","Total Living with Two Parents",15362,1004.10407827077
"0900108070","2008-2012","Total Living with Two Parents, Neither in Work Force",182,126.269552941317
"0900108980","2008-2012","Total Children",3867,254
"0900108980","2008-2012","Total Living with One Parent",487,205.934455592065
"0900108980","2008-2012","Total Living with One Parent, Not in Work Force",25,43.8634243989226
"0900108980","2008-2012","Total Living with Two Parents",3380,365.935786716741
"0900108980","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900118500","2008-2012","Total Children",15710,657
"0900118500","2008-2012","Total Living with One Parent",4804,635.182650896575
"0900118500","2008-2012","Total Living with One Parent, Not in Work Force",461,210.085696800139
"0900118500","2008-2012","Total Living with Two Parents",10906,813.508451093165
"0900118500","2008-2012","Total Living with Two Parents, Neither in Work Force",57,50.5667875190821
"0900118850","2008-2012","Total Children",7455,251
"0900118850","2008-2012","Total Living with One Parent",644,203.383873500334
"0900118850","2008-2012","Total Living with One Parent, Not in Work Force",309,160.505451620809
"0900118850","2008-2012","Total Living with Two Parents",6811,377.107411754264
"0900118850","2008-2012","Total Living with Two Parents, Neither in Work Force",116,97.7445650662992
"0900123890","2008-2012","Total Children",2097,145
"0900123890","2008-2012","Total Living with One Parent",209,143.391073641284
"0900123890","2008-2012","Total Living with One Parent, Not in Work Force",88,136.220409630863
"0900123890","2008-2012","Total Living with Two Parents",1888,210.154704919971
"0900123890","2008-2012","Total Living with Two Parents, Neither in Work Force",19,27.8028775489157
"0900126620","2008-2012","Total Children",14898,425
"0900126620","2008-2012","Total Living with One Parent",1882,305.812033772381
"0900126620","2008-2012","Total Living with One Parent, Not in Work Force",438,179.90830998039
"0900126620","2008-2012","Total Living with Two Parents",13016,622.354400643235
"0900126620","2008-2012","Total Living with Two Parents, Neither in Work Force",43,58.6685605754905
"0900133620","2008-2012","Total Children",16060,442
"0900133620","2008-2012","Total Living with One Parent",2167,373.172882187332
"0900133620","2008-2012","Total Living with One Parent, Not in Work Force",231,116.318528188763
"0900133620","2008-2012","Total Living with Two Parents",13893,649.518283037514
"0900133620","2008-2012","Total Living with Two Parents, Neither in Work Force",91,73.9256383131049
"0900148620","2008-2012","Total Children",5112,253
"0900148620","2008-2012","Total Living with One Parent",816,236.135554290327
"0900148620","2008-2012","Total Living with One Parent, Not in Work Force",34,61.5386057690618
"0900148620","2008-2012","Total Living with Two Parents",4296,375.793826452751
"0900148620","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900150580","2008-2012","Total Children",6481,290
"0900150580","2008-2012","Total Living with One Parent",771,289.872385714818
"0900150580","2008-2012","Total Living with One Parent, Not in Work Force",116,135.550728511506
"0900150580","2008-2012","Total Living with Two Parents",5710,411.61146728438
"0900150580","2008-2012","Total Living with Two Parents, Neither in Work Force",206,167.026943934205
"0900150860","2008-2012","Total Children",3579,204
"0900150860","2008-2012","Total Living with One Parent",381,123.458495049956
"0900150860","2008-2012","Total Living with One Parent, Not in Work Force",7,35.028559776274
"0900150860","2008-2012","Total Living with Two Parents",3198,278.743609792225
"0900150860","2008-2012","Total Living with Two Parents, Neither in Work Force",12,27.5862284482674
"0900152980","2008-2012","Total Children",7396,322
"0900152980","2008-2012","Total Living with One Parent",598,223.606797749979
"0900152980","2008-2012","Total Living with One Parent, Not in Work Force",98,81.5720540381324
"0900152980","2008-2012","Total Living with Two Parents",6798,361.088631778958
"0900152980","2008-2012","Total Living with Two Parents, Neither in Work Force",27,43.5660418215839
"0900156060","2008-2012","Total Children",15950,803
"0900156060","2008-2012","Total Living with One Parent",4657,662.589616580278
"0900156060","2008-2012","Total Living with One Parent, Not in Work Force",520,231.421693019475
"0900156060","2008-2012","Total Living with Two Parents",11293,781.005761822536
"0900156060","2008-2012","Total Living with Two Parents, Neither in Work Force",61,71.3091859440283
"0900163480","2008-2012","Total Children",2431,200
"0900163480","2008-2012","Total Living with One Parent",535,198.338095180931
"0900163480","2008-2012","Total Living with One Parent, Not in Work Force",123,114.804181108529
"0900163480","2008-2012","Total Living with Two Parents",1896,292.049653312583
"0900163480","2008-2012","Total Living with Two Parents, Neither in Work Force",21,36.2353418639869
"0900163970","2008-2012","Total Children",7515,286
"0900163970","2008-2012","Total Living with One Parent",811,281.442711754986
"0900163970","2008-2012","Total Living with One Parent, Not in Work Force",73,69.1158447825099
"0900163970","2008-2012","Total Living with Two Parents",6704,407.343835107394
"0900163970","2008-2012","Total Living with Two Parents, Neither in Work Force",107,91.4002188181188
"0900168170","2008-2012","Total Children",7870,403
"0900168170","2008-2012","Total Living with One Parent",1322,326.36942258735
"0900168170","2008-2012","Total Living with One Parent, Not in Work Force",139,99.0302983939764
"0900168170","2008-2012","Total Living with Two Parents",6548,507.03550171561
"0900168170","2008-2012","Total Living with Two Parents, Neither in Work Force",69,91.7605579756357
"0900168310","2008-2012","Total Children",825,95
"0900168310","2008-2012","Total Living with One Parent",79,47.7074417675062
"0900168310","2008-2012","Total Living with One Parent, Not in Work Force",10,26.229754097208
"0900168310","2008-2012","Total Living with Two Parents",746,155.974356866762
"0900168310","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900173070","2008-2012","Total Children",26714,966
"0900173070","2008-2012","Total Living with One Parent",7754,844.451301141753
"0900173070","2008-2012","Total Living with One Parent, Not in Work Force",1377,401.846985804298
"0900173070","2008-2012","Total Living with Two Parents",18960,895.002234634082
"0900173070","2008-2012","Total Living with Two Parents, Neither in Work Force",31,47.0106370941726
"0900174190","2008-2012","Total Children",10213,465
"0900174190","2008-2012","Total Living with One Parent",2857,422.995271841187
"0900174190","2008-2012","Total Living with One Parent, Not in Work Force",223,111.022520238013
"0900174190","2008-2012","Total Living with Two Parents",7356,596.343022093828
"0900174190","2008-2012","Total Living with Two Parents, Neither in Work Force",50,67.5425791630731
"0900177200","2008-2012","Total Children",9030,302
"0900177200","2008-2012","Total Living with One Parent",1080,269.683147415629
"0900177200","2008-2012","Total Living with One Parent, Not in Work Force",63,60.1830540933243
"0900177200","2008-2012","Total Living with Two Parents",7950,493.936230701899
"0900177200","2008-2012","Total Living with Two Parents, Neither in Work Force",39,35.4682957019364
"0900183430","2008-2012","Total Children",3461,169
"0900183430","2008-2012","Total Living with One Parent",235,129.556937290135
"0900183430","2008-2012","Total Living with One Parent, Not in Work Force",9,35.7631094844953
"0900183430","2008-2012","Total Living with Two Parents",3226,265.277213495619
"0900183430","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900183500","2008-2012","Total Children",7560,297
"0900183500","2008-2012","Total Living with One Parent",984,245.963411913236
"0900183500","2008-2012","Total Living with One Parent, Not in Work Force",183,112.694276695846
"0900183500","2008-2012","Total Living with Two Parents",6576,421.883870277118
"0900183500","2008-2012","Total Living with Two Parents, Neither in Work Force",134,74.6324326281812
"0900186370","2008-2012","Total Children",5873,254
"0900186370","2008-2012","Total Living with One Parent",408,134.851770474102
"0900186370","2008-2012","Total Living with One Parent, Not in Work Force",85,80.8146026408594
"0900186370","2008-2012","Total Living with Two Parents",5465,380.269641175837
"0900186370","2008-2012","Total Living with Two Parents, Neither in Work Force",93,57.4282160614449
"0900302060","2008-2012","Total Children",4728,218
"0900302060","2008-2012","Total Living with One Parent",533,225.079985782832
"0900302060","2008-2012","Total Living with One Parent, Not in Work Force",77,68.0808343074613
"0900302060","2008-2012","Total Living with Two Parents",4195,283.480158035796
"0900302060","2008-2012","Total Living with Two Parents, Neither in Work Force",18,37.2155881318568
"0900304300","2008-2012","Total Children",4102,250
"0900304300","2008-2012","Total Living with One Parent",708,222.144097378256
"0900304300","2008-2012","Total Living with One Parent, Not in Work Force",60,63.545259461269
"0900304300","2008-2012","Total Living with Two Parents",3394,405.743761504721
"0900304300","2008-2012","Total Living with Two Parents, Neither in Work Force",0,32.5269119345812
"0900305910","2008-2012","Total Children",3101,268
"0900305910","2008-2012","Total Living with One Parent",1433,275.18175811634
"0900305910","2008-2012","Total Living with One Parent, Not in Work Force",115,87.6070773396762
"0900305910","2008-2012","Total Living with Two Parents",1668,315.626361383203
"0900305910","2008-2012","Total Living with Two Parents, Neither in Work Force",0,32.5269119345812
"0900308490","2008-2012","Total Children",12460,517
"0900308490","2008-2012","Total Living with One Parent",4468,608.463639012226
"0900308490","2008-2012","Total Living with One Parent, Not in Work Force",431,204.034310840113
"0900308490","2008-2012","Total Living with Two Parents",7992,558.025985058044
"0900308490","2008-2012","Total Living with Two Parents, Neither in Work Force",41,58.309518948453
"0900310100","2008-2012","Total Children",2455,163
"0900310100","2008-2012","Total Living with One Parent",473,160.626896875959
"0900310100","2008-2012","Total Living with One Parent, Not in Work Force",40,51.4198405287298
"0900310100","2008-2012","Total Living with Two Parents",1982,248.654378606129
"0900310100","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900312270","2008-2012","Total Children",2468,160
"0900312270","2008-2012","Total Living with One Parent",544,224.537302023517
"0900312270","2008-2012","Total Living with One Parent, Not in Work Force",68,100.533576480696
"0900312270","2008-2012","Total Living with Two Parents",1924,247.323674564325
"0900312270","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900322070","2008-2012","Total Children",1124,167
"0900322070","2008-2012","Total Living with One Parent",149,92.5742944882649
"0900322070","2008-2012","Total Living with One Parent, Not in Work Force",0,34
"0900322070","2008-2012","Total Living with Two Parents",975,202.743680542699
"0900322070","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900322630","2008-2012","Total Children",10630,581
"0900322630","2008-2012","Total Living with One Parent",5088,623.542300088775
"0900322630","2008-2012","Total Living with One Parent, Not in Work Force",841,274.103994863263
"0900322630","2008-2012","Total Living with Two Parents",5542,531.421678142697
"0900322630","2008-2012","Total Living with Two Parents, Neither in Work Force",173,175.601822314007
"0900324800","2008-2012","Total Children",2413,300
"0900324800","2008-2012","Total Living with One Parent",759,316.891148503709
"0900324800","2008-2012","Total Living with One Parent, Not in Work Force",36,67.5573830162182
"0900324800","2008-2012","Total Living with Two Parents",1654,263.837070935833
"0900324800","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900325990","2008-2012","Total Children",8269,361
"0900325990","2008-2012","Total Living with One Parent",2409,382.174044121262
"0900325990","2008-2012","Total Living with One Parent, Not in Work Force",228,131.852189970436
"0900325990","2008-2012","Total Living with Two Parents",5860,475.421917879267
"0900325990","2008-2012","Total Living with Two Parents, Neither in Work Force",19,33.4215499341368
"0900327600","2008-2012","Total Children",5693,288
"0900327600","2008-2012","Total Living with One Parent",773,201.062179437108
"0900327600","2008-2012","Total Living with One Parent, Not in Work Force",101,80.541914553852
"0900327600","2008-2012","Total Living with Two Parents",4920,403.767259693007
"0900327600","2008-2012","Total Living with Two Parents, Neither in Work Force",29,35.8468966578698
"0900331240","2008-2012","Total Children",8804,286
"0900331240","2008-2012","Total Living with One Parent",1625,322.61587065735
"0900331240","2008-2012","Total Living with One Parent, Not in Work Force",159,98.7117014340245
"0900331240","2008-2012","Total Living with Two Parents",7179,477.602345052869
"0900331240","2008-2012","Total Living with Two Parents, Neither in Work Force",0,36.7695526217005
"0900332640","2008-2012","Total Children",2602,148
"0900332640","2008-2012","Total Living with One Parent",529,206.349218559218
"0900332640","2008-2012","Total Living with One Parent, Not in Work Force",0,38
"0900332640","2008-2012","Total Living with Two Parents",2073,297.874134493077
"0900332640","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900337070","2008-2012","Total Children",30522,1014
"0900337070","2008-2012","Total Living with One Parent",22542,1133.80774384373
"0900337070","2008-2012","Total Living with One Parent, Not in Work Force",5209,701.702928595855
"0900337070","2008-2012","Total Living with Two Parents",7980,746.689359774197
"0900337070","2008-2012","Total Living with Two Parents, Neither in Work Force",290,184.390889145858
"0900337140","2008-2012","Total Children",493,74
"0900337140","2008-2012","Total Living with One Parent",28,16.4012194668567
"0900337140","2008-2012","Total Living with One Parent, Not in Work Force",10,20.8086520466848
"0900337140","2008-2012","Total Living with Two Parents",465,76.0263112349929
"0900337140","2008-2012","Total Living with Two Parents, Neither in Work Force",9,8.48528137423857
"0900344700","2008-2012","Total Children",11877,426
"0900344700","2008-2012","Total Living with One Parent",4286,507.610086582211
"0900344700","2008-2012","Total Living with One Parent, Not in Work Force",686,217.97706301352
"0900344700","2008-2012","Total Living with Two Parents",7591,591.216542393732
"0900344700","2008-2012","Total Living with Two Parents, Neither in Work Force",135,132.909743811355
"0900345820","2008-2012","Total Children",1716,123
"0900345820","2008-2012","Total Living with One Parent",357,164.146276229466
"0900345820","2008-2012","Total Living with One Parent, Not in Work Force",0,34
"0900345820","2008-2012","Total Living with Two Parents",1359,206.455806409023
"0900345820","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900350440","2008-2012","Total Children",16093,680
"0900350440","2008-2012","Total Living with One Parent",9618,762.260454175605
"0900350440","2008-2012","Total Living with One Parent, Not in Work Force",1617,424.930582566141
"0900350440","2008-2012","Total Living with Two Parents",6475,590.255029627025
"0900350440","2008-2012","Total Living with Two Parents, Neither in Work Force",25,46.2276973253049
"0900352140","2008-2012","Total Children",5629,348
"0900352140","2008-2012","Total Living with One Parent",1462,314.391475711413
"0900352140","2008-2012","Total Living with One Parent, Not in Work Force",93,59.8163857149527
"0900352140","2008-2012","Total Living with Two Parents",4167,431.834459023362
"0900352140","2008-2012","Total Living with Two Parents, Neither in Work Force",0,36.7695526217005
"0900360120","2008-2012","Total Children",3645,312
"0900360120","2008-2012","Total Living with One Parent",1549,429.424032862624
"0900360120","2008-2012","Total Living with One Parent, Not in Work Force",91,83.8272032218659
"0900360120","2008-2012","Total Living with Two Parents",2096,376.085096753381
"0900360120","2008-2012","Total Living with Two Parents, Neither in Work Force",50,51.2445119012758
"0900365370","2008-2012","Total Children",3918,324
"0900365370","2008-2012","Total Living with One Parent",847,249.577643229517
"0900365370","2008-2012","Total Living with One Parent, Not in Work Force",19,53.3572862878164
"0900365370","2008-2012","Total Living with Two Parents",3071,413.580705546088
"0900365370","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900368940","2008-2012","Total Children",6472,292
"0900368940","2008-2012","Total Living with One Parent",993,326.049076060645
"0900368940","2008-2012","Total Living with One Parent, Not in Work Force",81,66.7158152164837
"0900368940","2008-2012","Total Living with Two Parents",5479,356.949576270935
"0900368940","2008-2012","Total Living with Two Parents, Neither in Work Force",25,38.6005181312376
"0900370550","2008-2012","Total Children",9305,358
"0900370550","2008-2012","Total Living with One Parent",1595,315.407672703122
"0900370550","2008-2012","Total Living with One Parent, Not in Work Force",150,82.4924238945614
"0900370550","2008-2012","Total Living with Two Parents",7710,500.848280420328
"0900370550","2008-2012","Total Living with Two Parents, Neither in Work Force",10,31.0644491340181
"0900371390","2008-2012","Total Children",6111,374
"0900371390","2008-2012","Total Living with One Parent",946,242.439683220384
"0900371390","2008-2012","Total Living with One Parent, Not in Work Force",60,64.55230437405
"0900371390","2008-2012","Total Living with Two Parents",5165,453.803922415838
"0900371390","2008-2012","Total Living with Two Parents, Neither in Work Force",0,32.5269119345812
"0900374540","2008-2012","Total Children",3160,189
"0900374540","2008-2012","Total Living with One Parent",660,213.321353830319
"0900374540","2008-2012","Total Living with One Parent, Not in Work Force",47,66.3249575951617
"0900374540","2008-2012","Total Living with Two Parents",2500,272.426136778394
"0900374540","2008-2012","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900382590","2008-2012","Total Children",13952,415
"0900382590","2008-2012","Total Living with One Parent",2807,405.177738776453
"0900382590","2008-2012","Total Living with One Parent, Not in Work Force",185,109.849897587572
"0900382590","2008-2012","Total Living with Two Parents",11145,540.231431888223
"0900382590","2008-2012","Total Living with Two Parents, Neither in Work Force",45,47.0106370941726
"0900384900","2008-2012","Total Children",5485,244
"0900384900","2008-2012","Total Living with One Parent",1196,247.032386540713
"0900384900","2008-2012","Total Living with One Parent, Not in Work Force",167,113.661778976048
"0900384900","2008-2012","Total Living with Two Parents",4289,349.688432751214
"0900384900","2008-2012","Total Living with Two Parents, Neither in Work Force",23,27.7848879788996
"0900387000","2008-2012","Total Children",6235,322
"0900387000","2008-2012","Total Living with One Parent",2039,384.859714701344
"0900387000","2008-2012","Total Living with One Parent, Not in Work Force",161,107.252039607646
"0900387000","2008-2012","Total Living with Two Parents",4196,381.431514167353
"0900387000","2008-2012","Total Living with Two Parents, Neither in Work Force",0,32.5269119345812
"0900387070","2008-2012","Total Children",2241,269
"0900387070","2008-2012","Total Living with One Parent",831,206.480023246802
"0900387070","2008-2012","Total Living with One Parent, Not in Work Force",89,70.3349130944227
"0900387070","2008-2012","Total Living with Two Parents",1410,265.753645318366
"0900387070","2008-2012","Total Living with Two Parents, Neither in Work Force",11,27.5862284482674
"0900502760","2008-2012","Total Children",869,114
"0900502760","2008-2012","Total Living with One Parent",44,34.1760149812701
"0900502760","2008-2012","Total Living with One Parent, Not in Work Force",12,28.1602556806574
"0900502760","2008-2012","Total Living with Two Parents",825,164.295465549114
"0900502760","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900504930","2008-2012","Total Children",621,126
"0900504930","2008-2012","Total Living with One Parent",114,79.6492310069595
"0900504930","2008-2012","Total Living with One Parent, Not in Work Force",56,65.559133612335
"0900504930","2008-2012","Total Living with Two Parents",507,129.247823966208
"0900504930","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900508210","2008-2012","Total Children",318,76
"0900508210","2008-2012","Total Living with One Parent",84,61.6116872029975
"0900508210","2008-2012","Total Living with One Parent, Not in Work Force",8,23.5159520326097
"0900508210","2008-2012","Total Living with Two Parents",234,41.6773319683494
"0900508210","2008-2012","Total Living with Two Parents, Neither in Work Force",11,10.6301458127346
"0900510940","2008-2012","Total Children",175,52
"0900510940","2008-2012","Total Living with One Parent",48,25
"0900510940","2008-2012","Total Living with One Parent, Not in Work Force",0,24
"0900510940","2008-2012","Total Living with Two Parents",127,40.2243707222375
"0900510940","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900516050","2008-2012","Total Children",250,37
"0900516050","2008-2012","Total Living with One Parent",54,30.0166620396073
"0900516050","2008-2012","Total Living with One Parent, Not in Work Force",22,28.7923600977759
"0900516050","2008-2012","Total Living with Two Parents",196,52.4976189936267
"0900516050","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900517240","2008-2012","Total Children",321,96
"0900517240","2008-2012","Total Living with One Parent",34,28.2842712474619
"0900517240","2008-2012","Total Living with One Parent, Not in Work Force",21,30.4795013082563
"0900517240","2008-2012","Total Living with Two Parents",287,94.2549733435854
"0900517240","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900532290","2008-2012","Total Children",521,114
"0900532290","2008-2012","Total Living with One Parent",109,75.6439025963098
"0900532290","2008-2012","Total Living with One Parent, Not in Work Force",31,51.3906606301184
"0900532290","2008-2012","Total Living with Two Parents",412,114.825955254028
"0900532290","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900537280","2008-2012","Total Children",1114,87
"0900537280","2008-2012","Total Living with One Parent",64,47.0744091837593
"0900537280","2008-2012","Total Living with One Parent, Not in Work Force",0,34
"0900537280","2008-2012","Total Living with Two Parents",1050,134.536240470737
"0900537280","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900540290","2008-2012","Total Children",573,133
"0900540290","2008-2012","Total Living with One Parent",130,67.955868032128
"0900540290","2008-2012","Total Living with One Parent, Not in Work Force",76,70.1141925718324
"0900540290","2008-2012","Total Living with Two Parents",443,152.85614151875
"0900540290","2008-2012","Total Living with Two Parents, Neither in Work Force",8,19.2093727122985
"0900543370","2008-2012","Total Children",1898,199
"0900543370","2008-2012","Total Living with One Parent",425,149.308405657552
"0900543370","2008-2012","Total Living with One Parent, Not in Work Force",35,34.4963766213207
"0900543370","2008-2012","Total Living with Two Parents",1473,220.988687493274
"0900543370","2008-2012","Total Living with Two Parents, Neither in Work Force",9,10.770329614269
"0900549460","2008-2012","Total Children",536,112
"0900549460","2008-2012","Total Living with One Parent",42,32.310988842807
"0900549460","2008-2012","Total Living with One Parent, Not in Work Force",0,24
"0900549460","2008-2012","Total Living with Two Parents",494,103.94229168149
"0900549460","2008-2012","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900551350","2008-2012","Total Children",1461,163
"0900551350","2008-2012","Total Living with One Parent",217,124.851912280109
"0900551350","2008-2012","Total Living with One Parent, Not in Work Force",0,34
"0900551350","2008-2012","Total Living with Two Parents",1244,196.956848065763
"0900551350","2008-2012","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900552630","2008-2012","Total Children",6548,354
"0900552630","2008-2012","Total Living with One Parent",1334,293.342802877453
"0900552630","2008-2012","Total Living with One Parent, Not in Work Force",117,104.225716596241
"0900552630","2008-2012","Total Living with Two Parents",5214,499.219390649041
"0900552630","2008-2012","Total Living with Two Parents, Neither in Work Force",0,32.5269119345812
"0900553470","2008-2012","Total Children",257,59
"0900553470","2008-2012","Total Living with One Parent",68,40.7921561087423
