"Town","FIPS","Year","Family Type","Parent Employment Status","Measure Type","Variable","Value"
"Barkhamsted","0900502760","2010-2014","Living with Two Parents","Not in Work Force","Number","Margin of Error",21.63
"Barkhamsted","0900502760","2010-2014","All","All","Number","Non-Working Parents",781
"Barkhamsted","0900502760","2010-2014","Living with One Parent","All","Number","Non-Working Parents",119
"Barkhamsted","0900502760","2010-2014","Living with One Parent","Not in Work Force","Number","Non-Working Parents",15
"Barkhamsted","0900502760","2010-2014","Living with Two Parents","All","Number","Non-Working Parents",662
"Barkhamsted","0900502760","2010-2014","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",10
"Barkhamsted","0900502760","2010-2014","Living with One Parent","All","Percent","Margin of Error",0.09
"Barkhamsted","0900502760","2010-2014","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.04
"Barkhamsted","0900502760","2010-2014","Living with Two Parents","All","Percent","Margin of Error",0.09
"Barkhamsted","0900502760","2010-2014","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.03
"Barkhamsted","0900502760","2010-2014","Living with One Parent","All","Percent","Non-Working Parents",15.24
"Barkhamsted","0900502760","2010-2014","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.92
"Barkhamsted","0900502760","2010-2014","Living with Two Parents","All","Percent","Non-Working Parents",84.76
"Barkhamsted","0900502760","2010-2014","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",1.28
"Barkhamsted","0900502760","2011-2015","All","All","Number","Margin of Error",163.27
"Barkhamsted","0900502760","2011-2015","Living with One Parent","All","Number","Margin of Error",74.63
"Barkhamsted","0900502760","2011-2015","Living with One Parent","Not in Work Force","Number","Margin of Error",30.27
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","All","Number","Margin of Error",158.52
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","Not in Work Force","Number","Margin of Error",22.47
"Barkhamsted","0900502760","2011-2015","All","All","Number","Non-Working Parents",813
"Barkhamsted","0900502760","2011-2015","Living with One Parent","All","Number","Non-Working Parents",147
"Barkhamsted","0900502760","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",14
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",666
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",12
"Barkhamsted","0900502760","2011-2015","Living with One Parent","All","Percent","Margin of Error",0.08
"Barkhamsted","0900502760","2011-2015","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.04
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","All","Percent","Margin of Error",0.1
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.03
"Barkhamsted","0900502760","2011-2015","Living with One Parent","All","Percent","Non-Working Parents",18.08
"Barkhamsted","0900502760","2011-2015","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.72
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","All","Percent","Non-Working Parents",81.92
"Barkhamsted","0900502760","2011-2015","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",1.48
"Beacon Falls","0900903250","2006-2010","All","All","Number","Margin of Error",252.61
"Beacon Falls","0900903250","2006-2010","Living with One Parent","All","Number","Margin of Error",154.65
"Beacon Falls","0900903250","2006-2010","Living with One Parent","Not in Work Force","Number","Margin of Error",177.56
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","All","Number","Margin of Error",237.74
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","Not in Work Force","Number","Margin of Error",173.95
"Beacon Falls","0900903250","2006-2010","All","All","Number","Non-Working Parents",1374
"Beacon Falls","0900903250","2006-2010","Living with One Parent","All","Number","Non-Working Parents",361
"Beacon Falls","0900903250","2006-2010","Living with One Parent","Not in Work Force","Number","Non-Working Parents",32
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","All","Number","Non-Working Parents",1013
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Beacon Falls","0900903250","2006-2010","Living with One Parent","All","Percent","Margin of Error",0.1
"Beacon Falls","0900903250","2006-2010","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.13
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","All","Percent","Margin of Error",0.11
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.13
"Beacon Falls","0900903250","2006-2010","Living with One Parent","All","Percent","Non-Working Parents",26.27
"Beacon Falls","0900903250","2006-2010","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.33
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","All","Percent","Non-Working Parents",73.73
"Beacon Falls","0900903250","2006-2010","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Beacon Falls","0900903250","2007-2011","All","All","Number","Margin of Error",228.81
"Beacon Falls","0900903250","2007-2011","Living with One Parent","All","Number","Margin of Error",151.48
"Beacon Falls","0900903250","2007-2011","Living with One Parent","Not in Work Force","Number","Margin of Error",135.1
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","All","Number","Margin of Error",220.64
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","Not in Work Force","Number","Margin of Error",130.11
"Beacon Falls","0900903250","2007-2011","All","All","Number","Non-Working Parents",1343
"Beacon Falls","0900903250","2007-2011","Living with One Parent","All","Number","Non-Working Parents",318
"Beacon Falls","0900903250","2007-2011","Living with One Parent","Not in Work Force","Number","Non-Working Parents",33
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","All","Number","Non-Working Parents",1025
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Beacon Falls","0900903250","2007-2011","Living with One Parent","All","Percent","Margin of Error",0.11
"Beacon Falls","0900903250","2007-2011","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.1
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","All","Percent","Margin of Error",0.1
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.1
"Beacon Falls","0900903250","2007-2011","Living with One Parent","All","Percent","Non-Working Parents",23.68
"Beacon Falls","0900903250","2007-2011","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.46
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","All","Percent","Non-Working Parents",76.32
"Beacon Falls","0900903250","2007-2011","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Beacon Falls","0900903250","2008-2012","All","All","Number","Margin of Error",261.75
"Beacon Falls","0900903250","2008-2012","Living with One Parent","All","Number","Margin of Error",176.82
"Beacon Falls","0900903250","2008-2012","Living with One Parent","Not in Work Force","Number","Margin of Error",45.2
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","All","Number","Margin of Error",264.34
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","Not in Work Force","Number","Margin of Error",24.04
"Beacon Falls","0900903250","2008-2012","All","All","Number","Non-Working Parents",1377
"Beacon Falls","0900903250","2008-2012","Living with One Parent","All","Number","Non-Working Parents",371
"Beacon Falls","0900903250","2008-2012","Living with One Parent","Not in Work Force","Number","Non-Working Parents",33
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","All","Number","Non-Working Parents",1006
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Beacon Falls","0900903250","2008-2012","Living with One Parent","All","Percent","Margin of Error",0.12
"Beacon Falls","0900903250","2008-2012","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.03
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","All","Percent","Margin of Error",0.13
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Beacon Falls","0900903250","2008-2012","Living with One Parent","All","Percent","Non-Working Parents",26.94
"Beacon Falls","0900903250","2008-2012","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.4
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","All","Percent","Non-Working Parents",73.06
"Beacon Falls","0900903250","2008-2012","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Beacon Falls","0900903250","2009-2013","All","All","Number","Margin of Error",236.58
"Beacon Falls","0900903250","2009-2013","Living with One Parent","All","Number","Margin of Error",127.22
"Beacon Falls","0900903250","2009-2013","Living with One Parent","Not in Work Force","Number","Margin of Error",44.53
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","All","Number","Margin of Error",231.92
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","Not in Work Force","Number","Margin of Error",24.04
"Beacon Falls","0900903250","2009-2013","All","All","Number","Non-Working Parents",1260
"Beacon Falls","0900903250","2009-2013","Living with One Parent","All","Number","Non-Working Parents",280
"Beacon Falls","0900903250","2009-2013","Living with One Parent","Not in Work Force","Number","Non-Working Parents",33
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","All","Number","Non-Working Parents",980
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Beacon Falls","0900903250","2009-2013","Living with One Parent","All","Percent","Margin of Error",0.09
"Beacon Falls","0900903250","2009-2013","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.03
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","All","Percent","Margin of Error",0.11
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Beacon Falls","0900903250","2009-2013","Living with One Parent","All","Percent","Non-Working Parents",22.22
"Beacon Falls","0900903250","2009-2013","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.62
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","All","Percent","Non-Working Parents",77.78
"Beacon Falls","0900903250","2009-2013","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Beacon Falls","0900903250","2010-2014","All","All","Number","Margin of Error",182.98
"Beacon Falls","0900903250","2010-2014","Living with One Parent","All","Number","Margin of Error",133.52
"Beacon Falls","0900903250","2010-2014","Living with One Parent","Not in Work Force","Number","Margin of Error",34
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","All","Number","Margin of Error",186.82
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","Not in Work Force","Number","Margin of Error",24.04
"Beacon Falls","0900903250","2010-2014","All","All","Number","Non-Working Parents",1247
"Beacon Falls","0900903250","2010-2014","Living with One Parent","All","Number","Non-Working Parents",293
"Beacon Falls","0900903250","2010-2014","Living with One Parent","Not in Work Force","Number","Non-Working Parents",0
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","All","Number","Non-Working Parents",954
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Beacon Falls","0900903250","2010-2014","Living with One Parent","All","Percent","Margin of Error",0.1
"Beacon Falls","0900903250","2010-2014","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.03
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","All","Percent","Margin of Error",0.1
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Beacon Falls","0900903250","2010-2014","Living with One Parent","All","Percent","Non-Working Parents",23.5
"Beacon Falls","0900903250","2010-2014","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",0
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","All","Percent","Non-Working Parents",76.5
"Beacon Falls","0900903250","2010-2014","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Beacon Falls","0900903250","2011-2015","All","All","Number","Margin of Error",165
"Beacon Falls","0900903250","2011-2015","Living with One Parent","All","Number","Margin of Error",135.93
"Beacon Falls","0900903250","2011-2015","Living with One Parent","Not in Work Force","Number","Margin of Error",43.49
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","All","Number","Margin of Error",169.61
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","Not in Work Force","Number","Margin of Error",24.04
"Beacon Falls","0900903250","2011-2015","All","All","Number","Non-Working Parents",1253
"Beacon Falls","0900903250","2011-2015","Living with One Parent","All","Number","Non-Working Parents",320
"Beacon Falls","0900903250","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",19
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",933
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Beacon Falls","0900903250","2011-2015","Living with One Parent","All","Percent","Margin of Error",0.1
"Beacon Falls","0900903250","2011-2015","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.03
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","All","Percent","Margin of Error",0.09
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Beacon Falls","0900903250","2011-2015","Living with One Parent","All","Percent","Non-Working Parents",25.54
"Beacon Falls","0900903250","2011-2015","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.52
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","All","Percent","Non-Working Parents",74.46
"Beacon Falls","0900903250","2011-2015","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Berlin","0900304300","2006-2010","All","All","Number","Margin of Error",340.14
"Berlin","0900304300","2006-2010","Living with One Parent","All","Number","Margin of Error",251.41
"Berlin","0900304300","2006-2010","Living with One Parent","Not in Work Force","Number","Margin of Error",216.4
"Berlin","0900304300","2006-2010","Living with Two Parents","All","Number","Margin of Error",374.97
"Berlin","0900304300","2006-2010","Living with Two Parents","Not in Work Force","Number","Margin of Error",173.95
"Berlin","0900304300","2006-2010","All","All","Number","Non-Working Parents",4332
"Berlin","0900304300","2006-2010","Living with One Parent","All","Number","Non-Working Parents",871
"Berlin","0900304300","2006-2010","Living with One Parent","Not in Work Force","Number","Non-Working Parents",23
"Berlin","0900304300","2006-2010","Living with Two Parents","All","Number","Non-Working Parents",3461
"Berlin","0900304300","2006-2010","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Berlin","0900304300","2006-2010","Living with One Parent","All","Percent","Margin of Error",0.06
"Berlin","0900304300","2006-2010","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.05
"Berlin","0900304300","2006-2010","Living with Two Parents","All","Percent","Margin of Error",0.06
"Berlin","0900304300","2006-2010","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.04
"Berlin","0900304300","2006-2010","Living with One Parent","All","Percent","Non-Working Parents",20.11
"Berlin","0900304300","2006-2010","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",0.53
"Berlin","0900304300","2006-2010","Living with Two Parents","All","Percent","Non-Working Parents",79.89
"Berlin","0900304300","2006-2010","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Berlin","0900304300","2007-2011","All","All","Number","Margin of Error",360.63
"Berlin","0900304300","2007-2011","Living with One Parent","All","Number","Margin of Error",223.89
"Berlin","0900304300","2007-2011","Living with One Parent","Not in Work Force","Number","Margin of Error",144.03
"Berlin","0900304300","2007-2011","Living with Two Parents","All","Number","Margin of Error",374.21
"Berlin","0900304300","2007-2011","Living with Two Parents","Not in Work Force","Number","Margin of Error",130.11
"Berlin","0900304300","2007-2011","All","All","Number","Non-Working Parents",4184
"Berlin","0900304300","2007-2011","Living with One Parent","All","Number","Non-Working Parents",813
"Berlin","0900304300","2007-2011","Living with One Parent","Not in Work Force","Number","Non-Working Parents",74
"Berlin","0900304300","2007-2011","Living with Two Parents","All","Number","Non-Working Parents",3371
"Berlin","0900304300","2007-2011","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Berlin","0900304300","2007-2011","Living with One Parent","All","Percent","Margin of Error",0.05
"Berlin","0900304300","2007-2011","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.03
"Berlin","0900304300","2007-2011","Living with Two Parents","All","Percent","Margin of Error",0.06
"Berlin","0900304300","2007-2011","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.03
"Berlin","0900304300","2007-2011","Living with One Parent","All","Percent","Non-Working Parents",19.43
"Berlin","0900304300","2007-2011","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.77
"Berlin","0900304300","2007-2011","Living with Two Parents","All","Percent","Non-Working Parents",80.57
"Berlin","0900304300","2007-2011","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Berlin","0900304300","2008-2012","All","All","Number","Margin of Error",402.18
"Berlin","0900304300","2008-2012","Living with One Parent","All","Number","Margin of Error",222.14
"Berlin","0900304300","2008-2012","Living with One Parent","Not in Work Force","Number","Margin of Error",63.55
"Berlin","0900304300","2008-2012","Living with Two Parents","All","Number","Margin of Error",405.74
"Berlin","0900304300","2008-2012","Living with Two Parents","Not in Work Force","Number","Margin of Error",32.53
"Berlin","0900304300","2008-2012","All","All","Number","Non-Working Parents",4102
"Berlin","0900304300","2008-2012","Living with One Parent","All","Number","Non-Working Parents",708
"Berlin","0900304300","2008-2012","Living with One Parent","Not in Work Force","Number","Non-Working Parents",60
"Berlin","0900304300","2008-2012","Living with Two Parents","All","Number","Non-Working Parents",3394
"Berlin","0900304300","2008-2012","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Berlin","0900304300","2008-2012","Living with One Parent","All","Percent","Margin of Error",0.05
"Berlin","0900304300","2008-2012","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.02
"Berlin","0900304300","2008-2012","Living with Two Parents","All","Percent","Margin of Error",0.06
"Berlin","0900304300","2008-2012","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Berlin","0900304300","2008-2012","Living with One Parent","All","Percent","Non-Working Parents",17.26
"Berlin","0900304300","2008-2012","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.46
"Berlin","0900304300","2008-2012","Living with Two Parents","All","Percent","Non-Working Parents",82.74
"Berlin","0900304300","2008-2012","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Berlin","0900304300","2009-2013","All","All","Number","Margin of Error",390.08
"Berlin","0900304300","2009-2013","Living with One Parent","All","Number","Margin of Error",174.86
"Berlin","0900304300","2009-2013","Living with One Parent","Not in Work Force","Number","Margin of Error",67.53
"Berlin","0900304300","2009-2013","Living with Two Parents","All","Number","Margin of Error",393.36
"Berlin","0900304300","2009-2013","Living with Two Parents","Not in Work Force","Number","Margin of Error",31.11
"Berlin","0900304300","2009-2013","All","All","Number","Non-Working Parents",4295
"Berlin","0900304300","2009-2013","Living with One Parent","All","Number","Non-Working Parents",579
"Berlin","0900304300","2009-2013","Living with One Parent","Not in Work Force","Number","Non-Working Parents",65
"Berlin","0900304300","2009-2013","Living with Two Parents","All","Number","Non-Working Parents",3716
"Berlin","0900304300","2009-2013","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Berlin","0900304300","2009-2013","Living with One Parent","All","Percent","Margin of Error",0.04
"Berlin","0900304300","2009-2013","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.02
"Berlin","0900304300","2009-2013","Living with Two Parents","All","Percent","Margin of Error",0.05
"Berlin","0900304300","2009-2013","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Berlin","0900304300","2009-2013","Living with One Parent","All","Percent","Non-Working Parents",13.48
"Berlin","0900304300","2009-2013","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.51
"Berlin","0900304300","2009-2013","Living with Two Parents","All","Percent","Non-Working Parents",86.52
"Berlin","0900304300","2009-2013","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Berlin","0900304300","2010-2014","All","All","Number","Margin of Error",406.25
"Berlin","0900304300","2010-2014","Living with One Parent","All","Number","Margin of Error",200
"Berlin","0900304300","2010-2014","Living with One Parent","Not in Work Force","Number","Margin of Error",63.69
"Berlin","0900304300","2010-2014","Living with Two Parents","All","Number","Margin of Error",386.29
"Berlin","0900304300","2010-2014","Living with Two Parents","Not in Work Force","Number","Margin of Error",31.11
"Berlin","0900304300","2010-2014","All","All","Number","Non-Working Parents",4309
"Berlin","0900304300","2010-2014","Living with One Parent","All","Number","Non-Working Parents",633
"Berlin","0900304300","2010-2014","Living with One Parent","Not in Work Force","Number","Non-Working Parents",62
"Berlin","0900304300","2010-2014","Living with Two Parents","All","Number","Non-Working Parents",3676
"Berlin","0900304300","2010-2014","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Berlin","0900304300","2010-2014","Living with One Parent","All","Percent","Margin of Error",0.04
"Berlin","0900304300","2010-2014","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.01
"Berlin","0900304300","2010-2014","Living with Two Parents","All","Percent","Margin of Error",0.04
"Berlin","0900304300","2010-2014","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Berlin","0900304300","2010-2014","Living with One Parent","All","Percent","Non-Working Parents",14.69
"Berlin","0900304300","2010-2014","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.44
"Berlin","0900304300","2010-2014","Living with Two Parents","All","Percent","Non-Working Parents",85.31
"Berlin","0900304300","2010-2014","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Berlin","0900304300","2011-2015","All","All","Number","Margin of Error",329.8
"Berlin","0900304300","2011-2015","Living with One Parent","All","Number","Margin of Error",229.26
"Berlin","0900304300","2011-2015","Living with One Parent","Not in Work Force","Number","Margin of Error",46.58
"Berlin","0900304300","2011-2015","Living with Two Parents","All","Number","Margin of Error",383.31
"Berlin","0900304300","2011-2015","Living with Two Parents","Not in Work Force","Number","Margin of Error",31.11
"Berlin","0900304300","2011-2015","All","All","Number","Non-Working Parents",4254
"Berlin","0900304300","2011-2015","Living with One Parent","All","Number","Non-Working Parents",681
"Berlin","0900304300","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",39
"Berlin","0900304300","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",3573
"Berlin","0900304300","2011-2015","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Berlin","0900304300","2011-2015","Living with One Parent","All","Percent","Margin of Error",0.05
"Berlin","0900304300","2011-2015","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.01
"Berlin","0900304300","2011-2015","Living with Two Parents","All","Percent","Margin of Error",0.06
"Berlin","0900304300","2011-2015","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Berlin","0900304300","2011-2015","Living with One Parent","All","Percent","Non-Working Parents",16.01
"Berlin","0900304300","2011-2015","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",0.92
"Berlin","0900304300","2011-2015","Living with Two Parents","All","Percent","Non-Working Parents",83.99
"Berlin","0900304300","2011-2015","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Bethany","0900904580","2006-2010","All","All","Number","Margin of Error",147.27
"Bethany","0900904580","2006-2010","Living with One Parent","All","Number","Margin of Error",131.58
"Bethany","0900904580","2006-2010","Living with One Parent","Not in Work Force","Number","Margin of Error",219.3
"Bethany","0900904580","2006-2010","Living with Two Parents","All","Number","Margin of Error",186.8
"Bethany","0900904580","2006-2010","Living with Two Parents","Not in Work Force","Number","Margin of Error",173.95
"Bethany","0900904580","2006-2010","All","All","Number","Non-Working Parents",1374
"Bethany","0900904580","2006-2010","Living with One Parent","All","Number","Non-Working Parents",222
"Bethany","0900904580","2006-2010","Living with One Parent","Not in Work Force","Number","Non-Working Parents",42
"Bethany","0900904580","2006-2010","Living with Two Parents","All","Number","Non-Working Parents",1152
"Bethany","0900904580","2006-2010","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Bethany","0900904580","2006-2010","Living with One Parent","All","Percent","Margin of Error",0.09
"Bethany","0900904580","2006-2010","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.16
"Bethany","0900904580","2006-2010","Living with Two Parents","All","Percent","Margin of Error",0.1
"Bethany","0900904580","2006-2010","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.13
"Bethany","0900904580","2006-2010","Living with One Parent","All","Percent","Non-Working Parents",16.16
"Bethany","0900904580","2006-2010","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",3.06
"Bethany","0900904580","2006-2010","Living with Two Parents","All","Percent","Non-Working Parents",83.84
"Bethany","0900904580","2006-2010","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Bethany","0900904580","2007-2011","All","All","Number","Margin of Error",149.83
"Bethany","0900904580","2007-2011","Living with One Parent","All","Number","Margin of Error",145.6
"Bethany","0900904580","2007-2011","Living with One Parent","Not in Work Force","Number","Margin of Error",169.58
"Bethany","0900904580","2007-2011","Living with Two Parents","All","Number","Margin of Error",189.08
"Bethany","0900904580","2007-2011","Living with Two Parents","Not in Work Force","Number","Margin of Error",130.11
"Bethany","0900904580","2007-2011","All","All","Number","Non-Working Parents",1368
"Bethany","0900904580","2007-2011","Living with One Parent","All","Number","Non-Working Parents",207
"Bethany","0900904580","2007-2011","Living with One Parent","Not in Work Force","Number","Non-Working Parents",46
"Bethany","0900904580","2007-2011","Living with Two Parents","All","Number","Non-Working Parents",1161
"Bethany","0900904580","2007-2011","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Bethany","0900904580","2007-2011","Living with One Parent","All","Percent","Margin of Error",0.11
"Bethany","0900904580","2007-2011","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.12
"Bethany","0900904580","2007-2011","Living with Two Parents","All","Percent","Margin of Error",0.1
"Bethany","0900904580","2007-2011","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.1
"Bethany","0900904580","2007-2011","Living with One Parent","All","Percent","Non-Working Parents",15.13
"Bethany","0900904580","2007-2011","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",3.36
"Bethany","0900904580","2007-2011","Living with Two Parents","All","Percent","Non-Working Parents",84.87
"Bethany","0900904580","2007-2011","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Bethany","0900904580","2008-2012","All","All","Number","Margin of Error",147.73
"Bethany","0900904580","2008-2012","Living with One Parent","All","Number","Margin of Error",87.13
"Bethany","0900904580","2008-2012","Living with One Parent","Not in Work Force","Number","Margin of Error",58.03
"Bethany","0900904580","2008-2012","Living with Two Parents","All","Number","Margin of Error",154.3
"Bethany","0900904580","2008-2012","Living with Two Parents","Not in Work Force","Number","Margin of Error",24.04
"Bethany","0900904580","2008-2012","All","All","Number","Non-Working Parents",1440
"Bethany","0900904580","2008-2012","Living with One Parent","All","Number","Non-Working Parents",162
"Bethany","0900904580","2008-2012","Living with One Parent","Not in Work Force","Number","Non-Working Parents",32
"Bethany","0900904580","2008-2012","Living with Two Parents","All","Number","Non-Working Parents",1278
"Bethany","0900904580","2008-2012","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Bethany","0900904580","2008-2012","Living with One Parent","All","Percent","Margin of Error",0.06
"Bethany","0900904580","2008-2012","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.04
"Bethany","0900904580","2008-2012","Living with Two Parents","All","Percent","Margin of Error",0.06
"Bethany","0900904580","2008-2012","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Bethany","0900904580","2008-2012","Living with One Parent","All","Percent","Non-Working Parents",11.25
"Bethany","0900904580","2008-2012","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.22
"Bethany","0900904580","2008-2012","Living with Two Parents","All","Percent","Non-Working Parents",88.75
"Bethany","0900904580","2008-2012","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Bethany","0900904580","2009-2013","All","All","Number","Margin of Error",168.25
"Bethany","0900904580","2009-2013","Living with One Parent","All","Number","Margin of Error",122.69
"Bethany","0900904580","2009-2013","Living with One Parent","Not in Work Force","Number","Margin of Error",68.32
